theta,psi,K
0.68085265,-0.6441692655151459,669.3612
0.6752857,-0.6760829753919487,633.1241
0.6696547,-0.7095777679633539,598.31384
0.6639608,-0.7447319739059522,564.9257
0.65820515,-0.781627804588291,532.94977
0.65238875,-0.8203515443297774,502.36932
0.646513,-0.8609937521845576,473.16574
0.64057916,-0.9036494737222561,445.31424
0.63458884,-0.9484184633008493,418.78668
0.6285434,-0.9954054173514766,393.55157
0.6224445,-1.044720219220747,369.57492
0.6162939,-1.0964781961431291,346.81833
0.61009336,-1.1508003889443768,325.24332
0.6038446,-1.207813835106718,304.8092
0.59754974,-1.26765186585778,285.47345
0.59121066,-1.330454417978022,267.19324
0.5848295,-1.3963683610558648,249.92589
0.5784084,-1.465547840955835,233.62788
0.57194966,-1.538154640302954,218.25642
0.5654555,-1.6143585568264012,203.7688
0.5589283,-1.6943378004472387,190.12389
0.55237055,-1.7782794100388282,177.28062
0.5457846,-1.8663796908345702,165.19981
0.5391731,-1.9588446735058849,153.84256
0.53253865,-2.0558905959840312,143.1721
0.52588385,-2.1577444091525497,133.15277
0.5192114,-2.264644307592937,123.749954
0.51252395,-2.376840286624747,114.930824
0.5058243,-2.494594726942818,106.663925
0.49911535,-2.6181830082188418,98.91898
0.49239972,-2.7478941531022456,91.66737
0.48568034,-2.8840315031264465,84.881485
0.47895998,-3.0269134281011376,78.53534
0.47224155,-3.1768740706495935,72.60392
0.46552792,-3.334264127632163,67.06372
0.4588219,-3.4994516702833764,61.892212
0.45212635,-3.6728230049806396,57.068016
0.44544408,-3.8547835766575,52.57094
0.43877792,-4.045758916974197,48.38166
0.4321307,-4.246195639462886,44.48195
0.42550513,-4.4565624839747775,40.854588
0.41890395,-4.6773514128717135,37.483124
0.4123299,-4.909078761525748,34.35204
0.40578565,-5.152286445817267,31.446642
0.3992737,-5.407543229455494,28.752983
0.39279675,-5.675446054085141,26.257883
0.38635722,-5.956621435289756,23.948906
0.37995756,-6.251726927756491,21.814224
0.37360016,-6.561452663028668,19.842714
0.36728737,-6.886522963442354,18.02383
0.36102134,-7.227698036021274,16.347626
0.35480434,-7.585775750291386,14.804716
0.34863842,-7.961593504172711,13.386217
0.3425256,-8.35603018231198,12.083794
0.33646786,-8.770008211435819,10.889523
0.33046693,-9.204495717531158,9.795988
0.32452476,-9.660508789897548,8.796153
0.31864285,-10.139113857366178,7.883428
0.31282294,-10.64143018224251,7.051576
0.30706638,-11.168632477804927,6.294735
0.30137473,-11.721953655480585,5.607387
0.29574925,-12.302687708123056,4.9843316
0.29019123,-12.912192736134543,4.4206853
0.28470165,-13.551894123509518,3.9118414
0.2792818,-14.223287871227312,3.4534795
0.2739324,-14.927944095789028,3.0415316
0.26865453,-15.667510701080507,2.6721845
0.26344883,-16.44371723214828,2.3418555
0.25831604,-17.258378919900945,2.0471845
0.25325686,-18.113400926194878,1.7850285
0.24827161,-19.01078279923179,1.5524424
0.243361,-19.952623149687522,1.346682
0.23852518,-20.941124558507585,1.1651833
0.23376453,-21.978598727846837,1.0055665
0.22907925,-23.067471887199204,0.86562157
0.22446945,-24.210290467360217,0.7433023
0.21993521,-25.409727055491402,0.63672304
0.21547645,-26.66858664521306,0.5441485
0.21109334,-27.9898131963418,0.4639903
0.20678535,-29.376496519613383,0.39479786
0.20255253,-30.831879502491518,0.3352539
0.19839454,-32.359365692960694,0.2841665
0.19431111,-33.962527259038595,0.24046163
0.19030175,-35.64511334262206,0.20317714
0.18636614,-37.411058827202844,0.17145523
0.18250376,-39.264493539957364,0.14453344
0.17871398,-41.20975190973026,0.12173916
0.17499635,-43.251383103497965,0.10248124
0.17135024,-45.39416166501726,0.08624292
0.167775,-47.64309868053835,0.072574124
0.16426986,-50.00345349769446,0.061085515
0.16083416,-52.48074602497369,0.051441174
0.15746713,-55.08076964053658,0.043353032
0.15416798,-57.80960474056785,0.036574684
0.15093586,-60.67363295884637,0.030896677
0.14777002,-63.67955209078719,0.026141098
0.14466953,-66.83439175685685,0.022157699
0.14163348,-70.14552984199226,0.018819835
0.13866112,-73.62070974946849,0.016021177
0.1357514,-77.26805850956484,0.013672531
0.13290331,-81.0961057853784,0.011699309
0.13011613,-85.11380382023167,0.010039296
0.12738878,-89.33054837332324,0.008640563
0.124720275,-93.7562006925814,0.007459899
0.12210971,-98.4011105761064,0.0064613814
0.11955613,-103.2761405761324,0.0056151086
0.117058516,-108.39269140211263,0.004896235
0.11461583,-113.76272858233496,0.004284115
0.1122272,-119.39881044641876,0.003761596
0.10989162,-125.31411749413259,0.0033143756
0.10760814,-131.52248321921437,0.002930576
0.10537565,-138.03842646027852,0.0026002876
0.10319328,-144.87718535446564,0.0023152463
0.10106009,-152.0547529732385,0.0020685464
0.09897497,-159.5879147236616,0.0018544089
0.09693715,-167.4942876026315,0.001667999
0.0949457,-175.79236139585637,0.0015052503
0.09299937,-184.5015419179338,0.0013627437
0.09109753,-193.64219639464642,0.0012376014
0.08923918,-203.23570109360713,0.0011273908
0.087423384,-213.3044913146418,0.0010300513
0.08564922,-223.8721138568173,0.0009438374
0.08391586,-234.9632820848132,0.0008672673
0.08222231,-246.60393372341545,0.0007990753
0.08056787,-258.8212915152897,0.00073818106
0.07895151,-271.6439268838878,0.000683661
0.07737249,-285.1018267503694,0.0006347224
0.07582995,-299.22646366079624,0.0005906809
0.07432312,-314.0508693875979,0.000550951
0.07285109,-329.60971217743264,0.0005150235
0.07141316,-345.93937782609555,0.00048245775
0.07000849,-363.07805477007355,0.0004528726
0.06863639,-381.0658233937438,0.00042593543
0.067296,-399.9447497610667,0.0004013555
0.06598666,-419.75898399097514,0.0003788803
0.0647077,-440.5548635065192,0.0003582864
0.063458264,-462.3810213992244,0.00033938067
0.06223774,-485.28850016208327,0.00032198976
0.06104541,-509.33087105715566,0.0003059629
0.059880704,-534.5643593969298,0.00029116689
0.05874279,-561.0479760324265,0.00027748305
0.057631284,-588.8436553555426,0.00026480624
0.056545198,-618.0164001383671,0.0002530428
0.055484265,-648.6344335481871,0.00024210951
0.05444771,-680.7693586936874,0.00023193246
0.053434968,-714.4963260754565,0.00022244526
0.052445382,-749.894209332396,0.00021358798
0.051478595,-787.0457896950358,0.00020530724
0.05053386,-826.0379495771125,0.00019755523
0.049610764,-866.9618757581469,0.00019028856
0.048708677,-909.9132726321782,0.00018346807
0.047827154,-954.9925860213588,0.00017705899
0.04696566,-1002.3052380778205,0.00017102832
0.046123773,-1051.9618738231375,0.00016534826
