run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_10,1,0,6,40,2,20,1,10,8.71316E-05,0.000103795,1.74531E-06,75631.21538,75631.23526,767062.2948,29.67880212,27.45321121,0.012888322,27.07970797,25.68289949,0.036903769
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_20,1,0,6,40,2,20,1,20,0.000128794,0.000175072,7.28977E-06,75631.12246,75631.21317,243887.8986,17.25636081,41.55131292,0.329327889,15.9509058,38.28312536,0.225622674
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_1_neu_K_40,1,0,6,40,2,20,1,40,0.000208466,5.35957E-05,1.58521E-06,75631.21355,75631.18137,6804955.401,34.48221572,13.40387016,0.02386358,31.89387009,12.17589117,0.037814659
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_2_neu_K_10,1,0,6,40,2,20,2,10,5.04927E-05,0.000179247,1.81575E-06,75631.22615,75631.19262,449718.2025,12.67224983,18.76141377,0.024349168,12.14389159,17.30648311,0.039796725
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_2_neu_K_20,1,0,6,40,2,20,2,20,0.000258003,0.000140074,1.82483E-06,75631.25334,75631.24736,1260758.567,55.04236038,8.5513479,0.017481716,51.56359506,8.964990287,0.036811126
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_2_neu_K_40,1,0,6,40,2,20,2,40,7.98946E-05,0.000133305,1.88948E-06,75631.17554,75631.16977,36474257.65,12.88337399,15.80853064,0.016657231,11.66396298,14.23396468,0.036960831
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_3_neu_K_10,1,0,6,40,2,20,3,10,0.000168609,5.17215E-05,1.67085E-06,75631.15945,75631.2072,21344.51333,48.70989133,5.610284857,0.014476147,45.13514089,5.711435639,0.031841398
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_3_neu_K_20,1,0,6,40,2,20,3,20,0.000159637,0.000110847,1.6829E-06,75631.09787,75631.17369,238354.205,35.51807391,17.39454652,0.016008692,32.29314268,15.99340446,0.032287322
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_20_lay_K_3_neu_K_40,1,0,6,40,2,20,3,40,0.000128974,4.86149E-05,1.604E-06,75628.52089,75631.06205,11985563.73,13.68134495,15.92852929,0.007829682,12.65148025,14.27667296,0.028856226
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_2_neu_theta_40_lay_K_1_neu_K_10,1,0,6,40,2,40,1,10,1.8887E-06,7.74147E-06,1.6009E-06,851532.9772,184683.8965,153170.7335,0.017798009,0.289220395,0.009515707,0.046998198,0.200374666,0.034676697
