theta,psi,K
0.96925306,-0.00041399967481972367,86330.086
0.96890426,-0.0004345102241715643,85820.234
0.9685497,-0.0004560369159512885,85307.055
0.9681892,-0.0004786300923226302,84790.32
0.9678228,-0.0005023425895223784,84270.11
0.96745026,-0.0005272298614228135,83746.39
0.96707153,-0.0005533501092157269,83218.87
0.9666865,-0.0005807644175213017,82688.04
0.966295,-0.0006095368972401582,82153.62
0.9658969,-0.0006397348354826364,81615.88
0.9654922,-0.0006714288529259399,81074.32
0.9650807,-0.0007046930689671337,80529.445
0.9646622,-0.0007396052750582238,79981.13
0.9642366,-0.0007762471166286769,79429.36
0.9638039,-0.0008147042840208238,78873.87
0.96336377,-0.0008550667128846666,78315.086
0.96291625,-0.0008974287945007307,77752.71
0.9624611,-0.0009418895965228226,77187.08
0.9619982,-0.000988553094656919,76617.81
0.96152747,-0.0010375284158179914,76045.28
0.9610486,-0.001088930093333411,75469.47
0.96056163,-0.001142878334789748,74890.016
0.9600662,-0.0011994993031493536,74307.28
0.9595624,-0.0012589254117941404,73721.29
0.9590499,-0.0013212956341865467,73131.82
0.9585286,-0.0013867558288718585,72539.32
0.9579982,-0.0014554590805819342,71943.45
0.95745873,-0.001527566058238039,71344.18
0.9569099,-0.0016032453906900056,70741.87
0.9563516,-0.0016826740610704294,70136.28
0.9557836,-0.0017660378206861241,69527.586
0.9552058,-0.0018535316234147689,68915.836
0.95461786,-0.0019453600816226177,68300.92
0.9540198,-0.0020417379446694816,67683.05
0.9534112,-0.002142890601120008,67062.25
0.952792,-0.0022490546058357274,66438.28
0.952162,-0.00236047823318052,65811.46
0.95152116,-0.0024774220576332254,65181.895
0.9508689,-0.0026001595631652084,64549.5
0.9502053,-0.0027289777828079734,63914.215
0.94953,-0.0028641779699065096,63276.38
0.9488429,-0.0030060763026281555,62635.82
0.9481437,-0.0031550046233745467,61992.637
0.9474322,-0.0033113112148258263,61347.113
0.9467082,-0.0034753616144319686,60698.93
0.9459715,-0.0036475394692559835,60048.375
0.9452218,-0.0038282474331681263,59395.562
0.9444587,-0.004017908108489294,58740.32
0.9436824,-0.00421696503428571,58083.0
0.9428922,-0.004425883723626147,57423.67
0.9420881,-0.0046451527522273686,56762.137
0.9412699,-0.004875284901033731,56098.59
0.9404371,-0.005116818355402937,55433.39
0.9395895,-0.005370317963702379,54766.31
0.938727,-0.005636376558259388,54097.504
0.9378493,-0.005915616341754574,53427.082
0.93695587,-0.00620869034230046,52755.26
0.9360467,-0.006516283940608241,52081.855
0.9351214,-0.006839116472814097,51407.234
0.9341798,-0.00717794291271341,50731.434
0.93322146,-0.007533555637336954,50054.586
0.9322461,-0.007906786279998019,49376.6
0.93125343,-0.008298507675143979,48697.86
0.93024325,-0.008709635899560548,48018.32
0.92921513,-0.009141132414702229,47338.156
0.9281689,-0.009594006315159042,46657.43
0.92710406,-0.010069316688517736,45976.32
0.9260204,-0.010568175092136261,45295.004
0.9249175,-0.01109174815262367,44613.44
0.92379516,-0.011641260294104552,43931.918
0.9226531,-0.012217996601648335,43250.566
0.92149067,-0.012823305826559812,42569.51
0.9203079,-0.013458603540559057,41888.758
0.9191042,-0.014125375446227093,41208.78
0.91787934,-0.01482518085145906,40529.215
