run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_10,1,0,8,40,3,20,3,10,1.88924E-06,3.43634E-06,1.64131E-06,30561.35119,28355.84655,34987.37928,0.008532735,0.020961685,0.007219016,0.039850931,0.067843161,0.038157393
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_20,1,0,8,40,3,20,3,20,1.71215E-06,1.43173E-06,1.13095E-05,16060.90946,27811.27016,29587.72675,0.008503105,0.006399211,0.267042799,0.035763885,0.027565014,0.209186182
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_3_neu_K_40,1,0,8,40,3,20,3,40,1.58552E-06,1.68038E-06,1.12399E-05,28064.06514,23265.99345,29907.06559,0.007417029,0.008084118,0.21017433,0.03236665,0.03639967,0.181072324
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_10,1,0,8,40,3,40,1,10,1.76882E-06,1.48973E-06,2.28267E-06,9442.020798,190882.7921,8000.449404,0.009491519,0.010324046,0.014469441,0.038485552,0.034035861,0.060586056
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_20,1,0,8,40,3,40,1,20,2.13132E-06,1.59256E-06,1.0468E-05,2200.335847,4257.945235,3206.496823,0.015006952,0.012991882,0.149145515,0.047854241,0.039598809,0.13722649
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_1_neu_K_40,1,0,8,40,3,40,1,40,1.70554E-06,1.78042E-06,1.75567E-06,31864.21263,57171.6893,26084.51985,0.013489223,0.015328501,0.011806808,0.039594279,0.033679828,0.036537804
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_10,1,0,8,40,3,40,2,10,8.80627E-06,1.82129E-06,9.64589E-06,25450.27388,30192.47584,32070.44843,0.213298005,0.011957223,0.208005574,0.162827612,0.044319928,0.165512748
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_20,1,0,8,40,3,40,2,20,3.32021E-06,2.82529E-06,1.72005E-06,42955.91078,18639.04181,44474.16088,0.016191022,0.015970155,0.009860615,0.070133657,0.049896981,0.040403617
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_2_neu_K_40,1,0,8,40,3,40,2,40,2.26061E-06,2.5142E-06,2.69793E-06,21783.50023,12611.38684,21225.94284,0.013060723,0.020328575,0.011377926,0.048082447,0.059111763,0.052687598
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_10,1,0,8,40,3,40,3,10,2.36237E-06,2.43316E-06,2.59439E-05,31923.78154,31274.82448,39518.79983,0.013644534,0.00671421,0.325855603,0.041669096,0.031779998,0.28315006
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_20,1,0,8,40,3,40,3,20,2.17087E-06,1.38261E-06,2.20896E-06,26493.12336,23556.12331,22072.36259,0.012464052,0.008373817,0.009491493,0.045919654,0.031075984,0.040101967
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_3_neu_theta_40_lay_K_3_neu_K_40,1,0,8,40,3,40,3,40,4.48963E-06,1.97334E-06,2.11795E-06,10286.35649,19316.97679,22287.42522,0.020849392,0.011997039,0.007590511,0.063563782,0.041596068,0.030263818
