theta,psi,K
0.8627995,-0.0004560369159512885,237036.84
0.8620261,-0.0004786300923226302,234086.12
0.86124504,-0.0005023425895223784,231138.84
0.8604562,-0.0005272298614228135,228196.02
0.85965955,-0.0005533501092157269,225258.66
0.8588549,-0.0005807644175213017,222326.45
0.8580423,-0.0006095368972401582,219399.55
0.8572216,-0.0006397348354826364,216478.38
0.85639274,-0.0006714288529259399,213564.3
0.8555557,-0.0007046930689671337,210655.7
0.85471034,-0.0007396052750582238,207755.02
0.85385656,-0.0007762471166286769,204861.45
0.8529943,-0.0008147042840208238,201975.62
0.8521235,-0.0008550667128846666,199097.8
0.8512441,-0.0008974287945007307,196228.6
0.8503559,-0.0009418895965228226,193368.1
0.84945905,-0.000988553094656919,190517.31
0.8485532,-0.0010375284158179914,187675.64
0.84763837,-0.001088930093333411,184844.77
0.8467146,-0.001142878334789748,182023.8
0.8457816,-0.0011994993031493536,179214.25
0.84483945,-0.0012589254117941404,176415.44
0.843888,-0.0013212956341865467,173628.7
0.8429271,-0.0013867558288718585,170854.05
0.8419568,-0.0014554590805819342,168091.83
0.84097695,-0.001527566058238039,165342.72
0.8399874,-0.0016032453906900056,162606.8
0.8389881,-0.0016826740610704294,159885.02
0.8379791,-0.0017660378206861241,157176.86
0.8369601,-0.0018535316234147689,154483.5
0.83593106,-0.0019453600816226177,151805.45
0.83489203,-0.0020417379446694816,149142.55
0.83384275,-0.002142890601120008,146495.6
0.83278334,-0.0022490546058357274,143864.73
0.83171344,-0.00236047823318052,141250.56
0.83063316,-0.0024774220576332254,138653.61
0.8295424,-0.0026001595631652084,136073.89
0.82844096,-0.0027289777828079734,133512.27
0.82732886,-0.0028641779699065096,130968.87
0.82620597,-0.0030060763026281555,128444.14
0.82507205,-0.0031550046233745467,125938.43
0.82392734,-0.0033113112148258263,123452.64
0.82277155,-0.0034753616144319686,120986.47
0.8216045,-0.0036475394692559835,118540.63
0.8204262,-0.0038282474331681263,116115.78
0.81923664,-0.004017908108489294,113711.56
0.8180356,-0.00421696503428571,111328.89
0.816823,-0.004425883723626147,108968.07
0.81559885,-0.0046451527522273686,106629.66
0.814363,-0.004875284901033731,104313.57
0.81311536,-0.005116818355402937,102020.445
0.8118558,-0.005370317963702379,99750.61
0.8105843,-0.005636376558259388,97504.59
0.80930066,-0.005915616341754574,95282.055
0.808005,-0.00620869034230046,93084.44
0.80669695,-0.006516283940608241,90911.31
0.8053767,-0.006839116472814097,88763.016
0.8040439,-0.00717794291271341,86639.96
0.8026986,-0.007533555637336954,84542.516
0.8013408,-0.007906786279998019,82470.76
0.79997027,-0.008298507675143979,80425.21
0.7985869,-0.008709635899560548,78406.484
0.7971908,-0.009141132414702229,76413.94
0.7957816,-0.009594006315159042,74448.375
0.79435945,-0.010069316688517736,72509.99
0.7929242,-0.010568175092136261,70599.12
0.7914757,-0.01109174815262367,68715.8
0.7900139,-0.011641260294104552,66860.14
0.78853875,-0.012217996601648335,65032.63
0.7870501,-0.012823305826559812,63233.363
0.785548,-0.013458603540559057,61462.36
0.7840322,-0.014125375446227093,59719.94
0.7825028,-0.01482518085145906,58006.164
0.7809595,-0.015559656316050241,56321.16
0.77940243,-0.01633051947894281,54665.08
0.7778314,-0.01713957307508369,53037.81
0.77624637,-0.017988709151287287,51439.797
0.77464724,-0.018879913490962307,49870.996
0.773034,-0.01981527025805032,48331.24
0.77140653,-0.020796966871036257,46820.793
0.76976466,-0.021827299118429278,45339.69
0.7681085,-0.02290867652767695,43887.816
0.7664379,-0.024043628000068512,42465.344
0.7647528,-0.025234807724804877,41072.01
0.76305306,-0.02648500138606609,39707.953
0.76133883,-0.02779713267759192,38373.098
0.7596098,-0.029174270140010644,37067.34
0.7578661,-0.03061963433690569,35790.59
0.7561075,-0.032136605386402034,34542.85
0.7543341,-0.03372873086588568,33323.867
0.7525457,-0.0353997341083422,32133.61
0.75074244,-0.03715352290971591,30971.896
0.748924,-0.03899419866765293,29838.605
0.7470907,-0.04092606597299959,28733.516
0.7452422,-0.042953642676487144,27656.426
0.74337846,-0.045081670454144344,26607.178
0.7414996,-0.04731512589614629,25585.53
0.7396055,-0.04965923214503175,24591.217
0.7376961,-0.052119471110506084,23624.055
0.73577136,-0.05470159628939509,22683.742
0.7338313,-0.05741164622073057,21770.016
0.73187584,-0.06025595860743347,20882.5
0.72990507,-0.0632411851376195,20021.023
