 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  118     11.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  119     11.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  120     11.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  121     12.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  122     12.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  123     12.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  124     12.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  125     12.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  126     12.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  127     12.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  128     12.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  129     12.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  130     12.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  131     13.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  132     13.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  133     13.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  134     13.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  135     13.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  136     13.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
